Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.800000	0.000000	0	3	75	n	0.10355247	0.42166696	0.18656002	0.38492473
0.800000	0.000000	0	2	all	n	0.10056822	0.43988965	0.16280618	0.37163126
0.800000	0.000000	0	5	75	n	0.10192128	0.44394965	0.18786940	0.42131519
0.800000	0.000000	0	4	one	t	0.18132032	0.45995748	0.26731221	0.41193172
0.800000	0.000000	0	2	75	t	0.18960447	0.40183994	0.29198224	0.36564440
0.800000	0.000000	0	3	one	n	0.10740399	0.38847359	0.17989433	0.35375624
0.800000	0.000000	0	4	75	n	0.10432725	0.43137933	0.18725219	0.40494661
0.800000	0.000000	0	4	50	t	0.18690102	0.44848305	0.27684522	0.41004932
0.800000	0.000000	0	4	50	n	0.10370276	0.44848305	0.17740065	0.41004932
0.800000	0.000000	0	2	50	t	0.18907727	0.41004706	0.28506528	0.36769015
0.800000	0.000000	0	4	one	n	0.10512735	0.39884787	0.17254985	0.35786070
0.800000	0.000000	0	2	one	n	0.11073852	0.37654459	0.19180189	0.34797940
0.800000	0.000000	0	5	50	t	0.18460727	0.46549235	0.27628645	0.42818102
0.800000	0.000000	0	3	50	n	0.10309999	0.43574545	0.17869030	0.38908105
0.800000	0.000000	0	3	all	t	0.17970296	0.47964588	0.23839277	0.39827525
0.800000	0.000000	0	5	one	n	0.10513158	0.41161457	0.16681473	0.36076209
0.800000	0.000000	0	1	1	t	0.20163791	0.32599182	0.34274222	0.31902260
0.800000	0.000000	0	2	50	n	0.10558451	0.41004706	0.18367458	0.36769015
0.800000	0.000000	0	2	75	n	0.10627870	0.40183994	0.19068874	0.36564440
0.800000	0.000000	0	5	one	t	0.17708404	0.48065337	0.26237234	0.43072200
0.800000	0.000000	0	3	75	t	0.18698670	0.42166696	0.28655172	0.38492473
0.800000	0.000000	0	2	one	t	0.18647085	0.41959318	0.27951486	0.36749568
0.800000	0.000000	0	4	all	t	0.17662307	0.50664853	0.22903915	0.42378876
0.800000	0.000000	0	5	75	t	0.18407138	0.44394965	0.28855508	0.42131519
0.800000	0.000000	0	3	all	n	0.09606760	0.47964588	0.14798465	0.39827525
0.800000	0.000000	0	2	all	t	0.18373159	0.43988965	0.25865958	0.37163126
0.800000	0.000000	0	5	all	t	0.17106605	0.54624886	0.21539748	0.44611826
