0.06349853	0.95573238	deathPlace
0.00929459	0.99161942	draftTeam
0.01308014	0.98313468	college
0.02270397	0.61107778	garrison
0.15500000	0.00565116	industry
0.00525076	0.16069789	largestCity
0.07523664	0.60208968	veneratedIn
0.04051804	0.20650636	inflow
0.00260296	0.75185185	mergedIntoParty
0.00000000	0.00000000	prospectTeam
0.23074967	0.95581949	producer
0.16995917	0.30190159	commander
0.00604863	0.25767918	doctoralStudent
0.03797323	0.89019397	isPartOfMilitaryConflict
0.00157808	0.83333333	partner
0.01013085	0.91920868	education
0.01109560	0.76946108	hubAirport
0.28011826	0.21432611	campus
0.00409993	0.94386423	notableWork
0.00419745	0.92772311	influenced
0.00239004	0.31300813	borough
0.13099380	0.61689019	author
0.03183831	0.82507123	servingRailwayLine
0.02596785	0.29934211	owningOrganisation
0.01103229	0.22795031	basedOn
0.05478874	0.79491018	owner
0.01101591	0.85436508	militaryUnit
0.03920797	0.01735446	field
0.02141913	0.63730717	stateOfOrigin
0.00467756	0.94021739	formerBroadcastNetwork
0.00091202	0.29906542	incumbent
0.01658560	0.74996930	owningCompany
0.00719303	0.76666667	monarch
0.02743854	0.90087063	residence
0.03320586	0.70019118	locationCity
0.03849964	0.26953306	parentMountainPeak
0.01567975	0.29202947	province
0.02166375	0.67911920	product
0.02628069	0.55216426	designer
0.02103879	0.99816701	associatedBand
0.02195049	0.24387528	distributingCompany
0.00553286	0.97898681	influencedBy
0.01487927	0.80345605	foundationPlace
0.23854073	0.87007948	director
0.06925543	0.55055582	district
0.03961239	0.55075895	keyPerson
0.00699752	0.92863837	president
0.00534352	0.62363239	highschool
0.01812003	0.99137477	spouse
0.12793255	0.77445235	network
0.02125237	0.62229039	bandMember
0.20672731	0.90539000	computingPlatform
0.00254142	0.14010508	maintainedBy
0.00000000	0.00000000	headquarters
0.00000000	0.00000000	order
0.12180631	0.77054694	city
0.00430868	0.96007984	primeMinister
0.08357903	0.92466400	musicalBand
0.17095450	0.94915581	riverMouth
